/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Jilbert, Tom; Schnetger, Bernhard; de Lange, Gert J (2014): Geochemistry (Ti/Al, Ba/Al, V/Al, organic Carbon) of sediment core PS009PC. PANGAEA, https://doi.org/10.1594/PANGAEA.875640, 
	In supplement to: Hennekam, R et al. (2014): Solar forcing of Nile discharge and sapropel S1 formation in the early to middle Holocene eastern Mediterranean. Paleoceanography, 29(5), 343-356, https://doi.org/10.1002/2013PA002553
Coverage:	LATITUDE: 32.128330 * LONGITUDE: 34.406670
	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 2.7745 m
Event(s):	PASSAP_PS009PC * LATITUDE: 32.128330 * LONGITUDE: 34.406670 * ELEVATION: -552.0 m * Recovery: 6.9 m * CAMPAIGN: PASSAP * BASIS: Pelagia (URI: https://www.nioz.nl/en/facilities/research-vessels/RV-pelagia) * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com)
	Barium/Aluminium ratio (Ba/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Titanium/Aluminium ratio (Ti/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Vanadium/Aluminium ratio (V/Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: X-ray fluorescence spectrometer (Philips PW2400)
	Carbon, organic, total [%] (TOC) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rickhennekam@gmail.com) * METHOD/DEVICE: Element analyser, Fisons NA 1500
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1851 data points
*/
Depth [m]	Age [ka BP]	Ba/Al	Ti/Al	V/Al	TOC [%]
2.3995	9.97	0.00426	0.085	0.00187	1.00
2.4045	10.01	0.00314	0.089	0.00179	0.68
2.4095	10.05	0.00303	0.091	0.00181	0.58
2.4145	10.09	0.00334	0.090	0.00180	0.57
2.4195	10.13	0.00329	0.091	0.00170	0.58
2.4245	10.17	0.00305	0.091	0.00167	0.57
2.4295	10.21	0.00311	0.091	0.00176	0.58
2.4345	10.25	0.00287	0.091	0.00184	0.55
2.4395	10.29	0.00287	0.092	0.00173	0.55
2.4445	10.33	0.00301	0.091	0.00183	0.54
2.4495	10.37	0.00285	0.091	0.00185	0.56
2.4545	10.41	0.00303	0.091	0.00175	0.58
2.4595	10.45	0.00289	0.091	0.00172	0.55
2.4645	10.49	0.00312	0.091	0.00186	0.58
2.4695	10.53	0.00308	0.091	0.00180	0.57
2.4745	10.57	0.00273	0.092	0.00186	0.57
2.4795	10.61	0.00286	0.094	0.00179	0.59
2.4845	10.65	0.00274	0.094	0.00175	0.58
2.4895	10.69	0.00272	0.094	0.00190	0.57
2.4945	10.73	0.00268	0.094	0.00185	0.57
2.4995	10.77	0.00295	0.095	0.00185	0.58
2.5045	10.81	0.00278	0.095	0.00188	0.58
2.5095	10.85	0.00281	0.095	0.00175	0.59
2.5145	10.89	0.00282	0.094	0.00178	0.59
2.5195	10.93	0.00295	0.094	0.00182	0.57
2.5245	10.97	0.00292	0.094	0.00184	0.59
2.5295	11.01	0.00288	0.095	0.00183	0.61
2.5345	11.05	0.00288	0.098	0.00195	0.64
2.5395	11.09	0.00289	0.098	0.00196	0.63
2.5445	11.13	0.00294	0.099	0.00200	0.70
2.5495	11.17	0.00291	0.100	0.00198	0.73
2.5545	11.21	0.00282	0.100	0.00203	0.78
2.5595	11.25	0.00274	0.100	0.00209	0.84
2.5645	11.29	0.00299	0.100	0.00202	0.82
2.5695	11.33	0.00279	0.099	0.00204	0.76
2.5745	11.37	0.00296	0.099	0.00192	0.69
2.5795	11.41	0.00283	0.099	0.00199	0.76
2.5845	11.45	0.00259	0.101	0.00202	0.93
2.5895	11.49	0.00295	0.101	0.00202	0.91
2.5945	11.53	0.00274	0.101	0.00203	0.90
2.5995	11.57	0.00288	0.101	0.00199	
2.6045	11.61	0.00275	0.101	0.00193	
2.6095	11.65	0.00288	0.102	0.00199	
2.6145	11.69	0.00290	0.101	0.00183	
2.6195	11.73	0.00284	0.100	0.00180	0.75
2.6245	11.77	0.00273	0.100	0.00179	
2.6295	11.81	0.00276	0.101	0.00194	
2.6345	11.85	0.00295	0.102	0.00189	
2.6395	11.88	0.00295	0.101	0.00192	
2.6445	11.92	0.00289	0.101	0.00193	0.79
2.6495	11.96	0.00268	0.101	0.00193	
2.6545	12.00	0.00283	0.101	0.00194	
2.6595	12.04	0.00303	0.101	0.00189	
2.6645	12.08	0.00301	0.101	0.00184	
2.6695	12.12	0.00274	0.101	0.00193	0.77
2.6745	12.16	0.00291	0.101	0.00198	
2.6795	12.20	0.00261	0.100	0.00199	
2.6845	12.24	0.00268	0.101	0.00192	
2.6895	12.28	0.00291	0.099	0.00184	
2.6945	12.32	0.00302	0.099	0.00187	0.73
2.6995	12.36	0.00297	0.100	0.00195	
2.7045	12.40	0.00296	0.099	0.00187	
2.7095	12.44	0.00285	0.099	0.00189	
2.7145	12.48	0.00291	0.099	0.00198	
2.7195	12.52	0.00287	0.099	0.00180	0.71
2.7245	12.56	0.00297	0.100	0.00191	
2.7295	12.60	0.00296	0.100	0.00205	
2.7345	12.64	0.00308	0.100	0.00178	
2.7395	12.68	0.00287	0.100	0.00188	
2.7445	12.72	0.00286	0.100	0.00202	0.70
2.7495	12.76	0.00303	0.100	0.00184	
2.7545	12.80	0.00314	0.100	0.00192	
2.7595	12.84	0.00302	0.100	0.00191	
2.7645	12.88	0.00312	0.099	0.00192	
2.7695	12.92	0.00302	0.099	0.00186	0.58
2.7745	12.96	0.00294	0.099	0.00201	
